Tickers
JPM
WFC
AMZN
C
BAC
MSFT
PG
DIS
T
CVX
VZ
CSCO
KO
PFE
ORCL
PM
IBM
NKE
MO
USB
TXN
GM
TSLA
F
HAL
S
GLW
MGM
DVA
X
CMCSA
